section_id,section_text,word_id,concept(sub),relation,obj,question,each_answer
1,"The wild people who dwell in the South-West are masters of many black arts. They often lure men of the Middle Kingdom to their country by promising them their daughters in marriage, but their promises are not to be trusted. Once there was the son of a poor family, who agreed to labor for three years for one of the wild men in order to become his son-in-law.",13,art,causes,express_yourself,What can you do to express yourself?,Make art.
1,"The wild people who dwell in the South-West are masters of many black arts. They often lure men of the Middle Kingdom to their country by promising them their daughters in marriage, but their promises are not to be trusted. Once there was the son of a poor family, who agreed to labor for three years for one of the wild men in order to become his son-in-law.",47,son,is the antonym of,daughter,What is the opposite of son?,Daughter is the opposite of son.
2,"At the end of that time the wedding was celebrated, and the couple were given a little house for a home. But no sooner had they entered it than the wife warned her husband to be on his guard, since her parents did not like him, and would seek to do him harm. In accordance with the custom she entered the house first with a lighted lantern, but when the bridegroom followed her she had disappeared. And thus it went, day by day. During the daytime she was there, but when evening came she disappeared.",71,lantern,is at location of,house,Where are lanterns located?,In a house.
2,"At the end of that time the wedding was celebrated, and the couple were given a little house for a home. But no sooner had they entered it than the wife warned her husband to be on his guard, since her parents did not like him, and would seek to do him harm. In accordance with the custom she entered the house first with a lighted lantern, but when the bridegroom followed her she had disappeared. And thus it went, day by day. During the daytime she was there, but when evening came she disappeared.",71,lantern,is used for,illumination,What is a lantern used for?,A lantern is used to create light.
3,"And one day, not long after they had been married, his wife said to him: ""To-morrow morning my mother celebrates her birthday, and you must go to congratulate her. They will offer you tea and food. The tea you may drink, but be sure not to touch any of the food. Keep this in mind!""

So the following day the wife and husband went to her mother's home and offered their congratulations. Her parents seemed highly pleased, and served them with tea and sweets. The son-in-law drank, but ate nothing, though his wife's parents, with kind words and friendly gestures, kept urging him to help himself. At last the son-in-law did not know what to do, and thought that surely they could mean him no ill. And seeing the fresh caught eels and crabs on the plate before him, he ate a little of them. His wife gave him a reproachful glance, and he offered some excuse for taking his leave.",117,friendly,is the antonym of,unfriendly,What is the opposite of friendly?,Unfriendly.
3,"And one day, not long after they had been married, his wife said to him: ""To-morrow morning my mother celebrates her birthday, and you must go to congratulate her. They will offer you tea and food. The tea you may drink, but be sure not to touch any of the food. Keep this in mind!""

So the following day the wife and husband went to her mother's home and offered their congratulations. Her parents seemed highly pleased, and served them with tea and sweets. The son-in-law drank, but ate nothing, though his wife's parents, with kind words and friendly gestures, kept urging him to help himself. At last the son-in-law did not know what to do, and thought that surely they could mean him no ill. And seeing the fresh caught eels and crabs on the plate before him, he ate a little of them. His wife gave him a reproachful glance, and he offered some excuse for taking his leave.",39,tea,is a,drink,What is tea?,Tea is a drink.
4,"But his mother-in-law said: ""This is my birthday. You simply must taste my birthday noodles!""

With that she placed a great dish before him, filled with noodles that looked like threads of silver, mingled with fat meat, and spiced with fragrant mushrooms. During all the time he had been living in the country the son-in-law had never yet seen such an appetizing dish. Its pleasant odor rose temptingly to his nostrils, and he could not resist raising his chop-sticks. His wife glanced over at him, but he pretended that he did not see her.

She coughed significantly, but he acted as though he did not hear. Finally she trod on his foot under the table; and then he regained control of himself.",26,dish,is created by,chef,Who creates dishes?,A chef.
4,"But his mother-in-law said: ""This is my birthday. You simply must taste my birthday noodles!""

With that she placed a great dish before him, filled with noodles that looked like threads of silver, mingled with fat meat, and spiced with fragrant mushrooms. During all the time he had been living in the country the son-in-law had never yet seen such an appetizing dish. Its pleasant odor rose temptingly to his nostrils, and he could not resist raising his chop-sticks. His wife glanced over at him, but he pretended that he did not see her.

She coughed significantly, but he acted as though he did not hear. Finally she trod on his foot under the table; and then he regained control of himself.",75,odor,is a,sensory_information,What is an odor?,An odor is a smell.
5,"He had not as yet eaten half of the food and said: ""My hunger is satisfied.""

Then he took leave, and went off with his wife.

""This is a serious matter,"" said the latter. ""You would not listen to my words, and now you will surely have to die!""",9,food,causes,eat_in_restaurant,What do you eat in a restaurant?,Food.
5,"He had not as yet eaten half of the food and said: ""My hunger is satisfied.""

Then he took leave, and went off with his wife.

""This is a serious matter,"" said the latter. ""You would not listen to my words, and now you will surely have to die!""",9,food,is at location of,plate,What do you put your food on when you eat?,You put your food on a plate when you eat.
6,"But still he did not believe her, until he suddenly felt terrible pains, which soon grew unbearable, so that he fell to the ground unconscious. His wife at once hung him up by the feet from the beam of the roof, and put a panful of glowing charcoal under his body, and a great jar of water, into which she had poured sesame oil, in front of the fire, directly below his mouth. And when the fire had heated him thoroughly, he suddenly opened his mouth-and can you imagine what came out of it? A squirming, crawling mass of poisonous worms, centipedes, toads and tadpoles, who all fell into the jar of water. Then his wife untied him, carried him to bed, and gave him wine mingled with realgar to drink. Then he recovered.",17,grow,is the antonym of,shrink,What is the opposite of grow?,Shrink
6,"But still he did not believe her, until he suddenly felt terrible pains, which soon grew unbearable, so that he fell to the ground unconscious. His wife at once hung him up by the feet from the beam of the roof, and put a panful of glowing charcoal under his body, and a great jar of water, into which she had poured sesame oil, in front of the fire, directly below his mouth. And when the fire had heated him thoroughly, he suddenly opened his mouth-and can you imagine what came out of it? A squirming, crawling mass of poisonous worms, centipedes, toads and tadpoles, who all fell into the jar of water. Then his wife untied him, carried him to bed, and gave him wine mingled with realgar to drink. Then he recovered.",153,recover,has subevent,get,What does recover mean?,Recover means get better.
6,"But still he did not believe her, until he suddenly felt terrible pains, which soon grew unbearable, so that he fell to the ground unconscious. His wife at once hung him up by the feet from the beam of the roof, and put a panful of glowing charcoal under his body, and a great jar of water, into which she had poured sesame oil, in front of the fire, directly below his mouth. And when the fire had heated him thoroughly, he suddenly opened his mouth-and can you imagine what came out of it? A squirming, crawling mass of poisonous worms, centipedes, toads and tadpoles, who all fell into the jar of water. Then his wife untied him, carried him to bed, and gave him wine mingled with realgar to drink. Then he recovered.",119,tadpole,is capable of,become_frog,What are tadpoles?,Tadpoles are baby frogs.
7,"""What you ate in the belief that they were eels and crabs,"" said his wife, ""were nothing but toads and tadpoles, and the birthday noodles were poisonous worms and centipedes. But you must continue to be careful. My parents know that you have not died, and they will think up other evil plans.""

A few days later his father-in-law said to him: ""There is a large tree growing on the precipice which juts over the cave. In it is the nest of the phenix. You are still young and able to climb, so go there quickly and fetch me the eggs!""

His son-in-law went home and told his wife.",116,egg,is created by,chicken,Who are eggs created by?,Chickens.
7,"""What you ate in the belief that they were eels and crabs,"" said his wife, ""were nothing but toads and tadpoles, and the birthday noodles were poisonous worms and centipedes. But you must continue to be careful. My parents know that you have not died, and they will think up other evil plans.""

A few days later his father-in-law said to him: ""There is a large tree growing on the precipice which juts over the cave. In it is the nest of the phenix. You are still young and able to climb, so go there quickly and fetch me the eggs!""

His son-in-law went home and told his wife.",88,cave,is a,underground_area,Where do you have to go to get into a cave?,You have to go underground to get into a cave.
7,"""What you ate in the belief that they were eels and crabs,"" said his wife, ""were nothing but toads and tadpoles, and the birthday noodles were poisonous worms and centipedes. But you must continue to be careful. My parents know that you have not died, and they will think up other evil plans.""

A few days later his father-in-law said to him: ""There is a large tree growing on the precipice which juts over the cave. In it is the nest of the phenix. You are still young and able to climb, so go there quickly and fetch me the eggs!""

His son-in-law went home and told his wife.",116,egg,is at location of,grocery_store,Where can you buy eggs?,You can buy eggs at the store.
8,"""Take long bamboo poles,"" said she, ""and tie them together, and fasten a curved sword at the top. And take these nine loaves of bread and these hens' eggs, there are seven times seven of them. Carry them along with you in a basket. When you come to the spot you will see a large nest up in the branches. Do not climb the tree, but chop it down with the curved sword. Then throw away your poles, and run for dear life. Should a monster appear and follow you, throw him the loaves of bread, three loaves at a time, and finally throw down the eggs on the ground and make for home as quickly as you can. In this way you may escape the danger which threatens you.""",112,bread,is at location of,oven,What do you cook bread in?,The oven.
8,"""Take long bamboo poles,"" said she, ""and tie them together, and fasten a curved sword at the top. And take these nine loaves of bread and these hens' eggs, there are seven times seven of them. Carry them along with you in a basket. When you come to the spot you will see a large nest up in the branches. Do not climb the tree, but chop it down with the curved sword. Then throw away your poles, and run for dear life. Should a monster appear and follow you, throw him the loaves of bread, three loaves at a time, and finally throw down the eggs on the ground and make for home as quickly as you can. In this way you may escape the danger which threatens you.""",34,hen,is part of,chicken,What is a hen?,A hen is a female chicken.
9,"The man noted all she said exactly and went. And sure enough he saw the bird's nest-it was as large as a round pavilion. Then he tied his curved sword to the poles, chopped at the tree with all his strength, laid down his poles on the ground and never looked around but ran for dear life. Suddenly he heard the roaring of a thunder-storm rising above him. When he looked up he saw a great dragon, many fathoms long and some ten feet across. His eyes gleamed like two lamps and he was spitting fire and flame from his maw. He had stretched out two feelers and was feeling along the ground. Then the man swiftly flung the loaves into the air.",99,lamp,is used for,illuminating_area,What do you use to illuminate an area?,A lamp.
