section_id,section_text,word_id,concept(sub),relation,obj,question,answer
1,"Once upon a time there lived a man who had two sons. When they grew up the elder went to seek his fortune in a far country, and for many years no one heard anything about him. Meanwhile the younger son stayed at home with his father, who died at last in a good old age, leaving great riches behind him.

For some time the son who stayed at home spent his father's wealth freely, believing that he alone remained to enjoy it. But, one day, as he was coming down stairs, he was surprised to see a stranger enter the hall, looking about as if the house belonged to him.",18,elder,is a,adult,Who is consider an elder?,An adult is considered an elder.
1,"Once upon a time there lived a man who had two sons. When they grew up the elder went to seek his fortune in a far country, and for many years no one heard anything about him. Meanwhile the younger son stayed at home with his father, who died at last in a good old age, leaving great riches behind him.

For some time the son who stayed at home spent his father's wealth freely, believing that he alone remained to enjoy it. But, one day, as he was coming down stairs, he was surprised to see a stranger enter the hall, looking about as if the house belonged to him.",21,seek,has subevent,desire,Why do people seek certain things?,Because they have a desire to achieve or get it.
1,"Once upon a time there lived a man who had two sons. When they grew up the elder went to seek his fortune in a far country, and for many years no one heard anything about him. Meanwhile the younger son stayed at home with his father, who died at last in a good old age, leaving great riches behind him.

For some time the son who stayed at home spent his father's wealth freely, believing that he alone remained to enjoy it. But, one day, as he was coming down stairs, he was surprised to see a stranger enter the hall, looking about as if the house belonged to him.",63,rich,is capable of,buy,What is it like to be rich?,"When you are rich, you can buy whatever you want."
2,"'Have you forgotten me?' asked the man.

'I can't forget a person I have never known,' was the rude answer.

'I am your brother,' replied the stranger, 'and I have returned home without the money I hoped to have made. And, what is worse, they tell me in the village that my father is dead. I would have counted my lost gold as nothing if I could have seen him once more.'

'He died six months ago,' said the rich brother, 'and he left you, as your portion, the old wooden chest that stands in the loft. You had better go there and look for it; I have no more time to waste.' And he went his way.",46,money,is capable of,buy_food,What can you do with money?,You can buy food.
2,"'Have you forgotten me?' asked the man.

'I can't forget a person I have never known,' was the rude answer.

'I am your brother,' replied the stranger, 'and I have returned home without the money I hoped to have made. And, what is worse, they tell me in the village that my father is dead. I would have counted my lost gold as nothing if I could have seen him once more.'

'He died six months ago,' said the rich brother, 'and he left you, as your portion, the old wooden chest that stands in the loft. You had better go there and look for it; I have no more time to waste.' And he went his way.",14,forget,has subevent,scratch_head,What do you usually do when you forget something?,You tend to scratch you head when you forget something.
3,"So the wanderer turned his steps to the loft, which was at the top of the storehouse, and there he found the wooden chest, so old that it looked as if it were dropping to pieces.

'What use is this old thing to me?' he said to himself. 'Oh, well, it will serve to light a fire at which I can warm myself; so things might be worse after all.'

Placing the chest on his back, the man, whose name was Jose, set out for his inn, and, borrowing a hatchet, began to chop up the box. In doing so he discovered a secret drawer, and in it lay a paper. He opened the paper, not knowing what it might contain, and was astonished to find that it was the acknowledgment of a large debt that was owing to his father. Putting the precious writing in his pocket, he hastily inquired of the landlord where he could find the man whose name was written inside, and he ran out at once in search of him.",38,piece,is part of,whole,What is a piece of?,A piece is part of a whole.
3,"So the wanderer turned his steps to the loft, which was at the top of the storehouse, and there he found the wooden chest, so old that it looked as if it were dropping to pieces.

'What use is this old thing to me?' he said to himself. 'Oh, well, it will serve to light a fire at which I can warm myself; so things might be worse after all.'

Placing the chest on his back, the man, whose name was Jose, set out for his inn, and, borrowing a hatchet, began to chop up the box. In doing so he discovered a secret drawer, and in it lay a paper. He opened the paper, not knowing what it might contain, and was astonished to find that it was the acknowledgment of a large debt that was owing to his father. Putting the precious writing in his pocket, he hastily inquired of the landlord where he could find the man whose name was written inside, and he ran out at once in search of him.",41,use,is a,activity,What happens if something is of no use?,No activity can be perform.
3,"So the wanderer turned his steps to the loft, which was at the top of the storehouse, and there he found the wooden chest, so old that it looked as if it were dropping to pieces.

'What use is this old thing to me?' he said to himself. 'Oh, well, it will serve to light a fire at which I can warm myself; so things might be worse after all.'

Placing the chest on his back, the man, whose name was Jose, set out for his inn, and, borrowing a hatchet, began to chop up the box. In doing so he discovered a secret drawer, and in it lay a paper. He opened the paper, not knowing what it might contain, and was astonished to find that it was the acknowledgment of a large debt that was owing to his father. Putting the precious writing in his pocket, he hastily inquired of the landlord where he could find the man whose name was written inside, and he ran out at once in search of him.",105,borrowing,is a,transferring_possession,What are you asking for when you want to borrow something?,You are asking the owner to transfer possession of the item.
3,"So the wanderer turned his steps to the loft, which was at the top of the storehouse, and there he found the wooden chest, so old that it looked as if it were dropping to pieces.

'What use is this old thing to me?' he said to himself. 'Oh, well, it will serve to light a fire at which I can warm myself; so things might be worse after all.'

Placing the chest on his back, the man, whose name was Jose, set out for his inn, and, borrowing a hatchet, began to chop up the box. In doing so he discovered a secret drawer, and in it lay a paper. He opened the paper, not knowing what it might contain, and was astonished to find that it was the acknowledgment of a large debt that was owing to his father. Putting the precious writing in his pocket, he hastily inquired of the landlord where he could find the man whose name was written inside, and he ran out at once in search of him.",120,discover,has subevent,perceive,What can happen if you discover something?,You can perceive more knowledge.
3,"So the wanderer turned his steps to the loft, which was at the top of the storehouse, and there he found the wooden chest, so old that it looked as if it were dropping to pieces.

'What use is this old thing to me?' he said to himself. 'Oh, well, it will serve to light a fire at which I can warm myself; so things might be worse after all.'

Placing the chest on his back, the man, whose name was Jose, set out for his inn, and, borrowing a hatchet, began to chop up the box. In doing so he discovered a secret drawer, and in it lay a paper. He opened the paper, not knowing what it might contain, and was astonished to find that it was the acknowledgment of a large debt that was owing to his father. Putting the precious writing in his pocket, he hastily inquired of the landlord where he could find the man whose name was written inside, and he ran out at once in search of him.",142,contain,is the antonym of,exclude,What is the opposite of contain?,Exclude.
