section_id,section_text,word_id,concept(sub),relation,obj,question,answer
1,"Long, long ago in Kyoto, the people of the city were terrified by accounts of a dreadful ogre, who, it was said, haunted the Gate of Rashomon at twilight and seized whoever passed by. The missing victims were never seen again, so it was whispered that the ogre was a horrible cannibal, who not only killed the unhappy victims but ate them also. Now everybody in the town and neighborhood was in great fear, and no one durst venture out after sunset near the Gate of Rashomon.",19,ogre,is a,giant,What is an ogre?,An ogre is a type of giant from folk tales that eats human flesh.
2,"Now at this time there lived in Kyoto a general named Raiko, who had made himself famous for his brave deeds. Some time before this he made the country ring with his name, for he had attacked Oeyama, where a band of ogres lived with their chief, who instead of wine drank the blood of human beings. He had routed them all and cut off the head of the chief monster",65,rout,is a,defeat,What does it mean to rout?,To tout means to defeat and to drive out.
3,"This brave warrior was always followed by a band of faithful knights. In this band there were five knights of great valor. One evening as the five knights sat at a feast quaffing SAKE in their rice bowls and eating all kinds of fish, raw, and stewed, and broiled, and toasting each other's healths and exploits, the first knight, Hojo, said to the others:",53,broil,is a,cooking,What does it mean to broil?,"To broil means to cook by direct, radiant heat."
4,"""Have you all heard the rumor that every evening after sunset there comes an ogre to the Gate of Rashomon, and that he seizes all who pass by?""

The second knight, Watanabe, answered him, saying:

""Do not talk such nonsense! All the ogres were killed by our chief Raiko at Oeyama! It cannot be true, because even if any ogres did escape from that great killing they would not dare to show themselves in this city, for they know that our brave master would at once attack them if he knew that any of them were still alive!""

""Then do you disbelieve what I say, and think that I am telling you a falsehood?""

""No, I do not think that you are telling a lie,"" said Watanabe; ""but you have heard some old woman's story which is not worth believing.""

""Then the best plan is to prove what I say, by going there yourself and finding out yourself whether it is true or not,"" said Hojo.",48,nonsense,is a,message,What is nonsense?,Nonsense is a piece of message considered to be meaningless.
5,"Watanabe, the second knight, could not bear the thought that his companion should believe he was afraid, so he answered quickly:

""Of course, I will go at once and find out for myself!""

So Watanabe at once got ready to go-he buckled on his long sword and put on a coat of armor, and tied on his large helmet. When he was ready to start he said to the others:

""Give me something so that I can prove I have been there!""",60,armor,is used for,protection,What are armors used for?,Armors are used as protection for the body.
6,"Then one of the men got a roll of writing paper and his box of Indian ink and brushes, and the four comrades wrote their names on a piece of paper.

""I will take this,"" said Watanabe, ""and put it on the Gate of Rashomon, so to-morrow morning will you all go and look at it? I may be able to catch an ogre or two by then!"" and he mounted his horse and rode off gallantly.",31,paper,is made of,trees,What are papers made from?,Papers are made from trees.
7,"It was a very dark night, and there was neither moon nor star to light Watanabe on his way. To make the darkness worse a storm came on, the rain fell heavily and the wind howled like wolves in the mountains. Any ordinary man would have trembled at the thought of going out of doors, but Watanabe was a brave warrior and dauntless, and his honor and word were at stake, so he sped on into the night, while his companions listened to the sound of his horse's hoofs dying away in the distance, then shut the sliding shutters close and gathered round the charcoal fire and wondered what would happen-and whether their comrade would encounter one of those horrible Oni.",38,howl,is a,cry,What is a howl?,"A howl is a protracted, mournful cry of a dog or wolf."
8,"At last Watanabe reached the Gate of Rashomon, but peer as he might through the darkness he could see no sign of an ogre.

""It is just as I thought,"" said Watanabe to himself; ""there are certainly no ogres here; it is only an old woman's story. I will stick this paper on the gate so that the others can see I have been here when they come to-morrow, and then I will take my way home and laugh at them all.""

He fastened the piece of paper, signed by all his four companions, on the gate, and then turned his horse's head towards home.",64,gate,is a,movable_barrier,What is a gate?,A gate is a movable barrier similar to a door but outside a house.
9,"As he did so he became aware that some one was behind him, and at the same time a voice called out to him to wait. Then his helmet was seized from the back. ""Who are you?"" said Watanabe fearlessly. He then put out his hand and groped around to find out who or what it was that held him by the helmet. As he did so he touched something that felt like an arm-it was covered with hair and as big round as the trunk of a tree!

Watanabe knew at once that this was the arm of an ogre, so he drew his sword and cut at it fiercely.

There was a loud yell of pain, and then the ogre dashed in front of the warrior.",69,helmet,is a,headgear,What is a helmet?,A helmet is a headgear used as protection.
10,"Watanabe's eyes grew large with wonder, for he saw that the ogre was taller than the great gate, his eyes were flashing like mirrors in the sunlight, and his huge mouth was wide open, and as the monster breathed, flames of fire shot out of his mouth.

The ogre thought to terrify his foe, but Watanabe never flinched. He attacked the ogre with all his strength, and thus they fought face to face for a long time. At last the ogre, finding that he could neither frighten nor beat Watanabe and that he might himself be beaten, took to flight. But Watanabe, determined not to let the monster escape, put spurs to his horse and gave chase.",26,mirror,has subevent,reflect,What is a mirror?,A mirror is a smooth surface that can reflect light.
11,"But though the knight rode very fast the ogre ran faster, and to his disappointment he found himself unable to overtake the monster, who was gradually lost to sight.

Watanabe returned to the gate where the fierce fight had taken place, and got down from his horse. As he did so he stumbled upon something lying on the ground.

Stooping to pick it up he found that it was one of the ogre's huge arms which he must have slashed off in the fight. His joy was great at having secured such a prize, for this was the best of all proofs of his adventure with the ogre. So he took it up carefully and carried it home as a trophy of his victory.",130,trophy,is a,award,What is a trophy?,A trophy is an object awarded for success.
