section_id,section_text,word_id,concept(sub),relation,obj,question,each_answer
1,"ONCE upon a time there was a sinister old couple, who lived out under the open sky. All that they had were three sons, an old cook-pot, an old frying-pan, and an old cat. Then the man died, and after a time his wife died, too. Now their estate was to be divided. So the oldest took the old cook-pot, and the second took the old frying-pan, and Ebe Ashpeter had no choice. He had to take the old cat, and they did not ask him whether he wanted to or not.",17,sky,is capable of,rain_water,Where does rain water come from?,The sky.
1,"ONCE upon a time there was a sinister old couple, who lived out under the open sky. All that they had were three sons, an old cook-pot, an old frying-pan, and an old cat. Then the man died, and after a time his wife died, too. Now their estate was to be divided. So the oldest took the old cook-pot, and the second took the old frying-pan, and Ebe Ashpeter had no choice. He had to take the old cat, and they did not ask him whether he wanted to or not.",17,sky,has property,blue_on_clear_day,What color is the sky?,The sky is blue.
2,"""Brother Peter can scrape out the cook-pot after he has loaned it out,"" said Ebe. ""Brother Paul gets a crust of bread when he lends out his frying-pan; but what am I to do with this wretched cat?"" And he was angry and envious. Yet he scratched the cat and stroked it, and this pleased the cat so that she began to purr, and raised her tail in the air.

""Wait, wait, I'll help you yet,"" said the cat, ""wait, wait, I'll help you yet!""",72,purr,is a,sound,What animal makes the sound of purring?,A cat.
2,"""Brother Peter can scrape out the cook-pot after he has loaned it out,"" said Ebe. ""Brother Paul gets a crust of bread when he lends out his frying-pan; but what am I to do with this wretched cat?"" And he was angry and envious. Yet he scratched the cat and stroked it, and this pleased the cat so that she began to purr, and raised her tail in the air.

""Wait, wait, I'll help you yet,"" said the cat, ""wait, wait, I'll help you yet!""",26,bread,is at location of,oven,Where do you bake bread?,You bake bread in the oven.
3,"There was nothing to bite or break in the hut. Brother Peter and Brother Paul had each of them gone off in a different direction. So Ebe set out, too, with the cat in the lead, himself following; but after a time he turned and went home again, to see whether the floor had been swept, and the cat tripped on alone. After she had gone her way, tipp, tapp, tipp, tapp, for a while, she came to a great rock, and there she met an enormous herd of reindeer. The cat crept softly around the herd, and then with one leap sprang between the horns of the finest buck.",105,reindeer,is a,pack_animal,What pack of animals carry santa's sleigh?,Reindeers.
3,"There was nothing to bite or break in the hut. Brother Peter and Brother Paul had each of them gone off in a different direction. So Ebe set out, too, with the cat in the lead, himself following; but after a time he turned and went home again, to see whether the floor had been swept, and the cat tripped on alone. After she had gone her way, tipp, tapp, tipp, tapp, for a while, she came to a great rock, and there she met an enormous herd of reindeer. The cat crept softly around the herd, and then with one leap sprang between the horns of the finest buck.",59,floor,is at location of,house,What do you walk on in your house?,On the floor.
3,"There was nothing to bite or break in the hut. Brother Peter and Brother Paul had each of them gone off in a different direction. So Ebe set out, too, with the cat in the lead, himself following; but after a time he turned and went home again, to see whether the floor had been swept, and the cat tripped on alone. After she had gone her way, tipp, tapp, tipp, tapp, for a while, she came to a great rock, and there she met an enormous herd of reindeer. The cat crept softly around the herd, and then with one leap sprang between the horns of the finest buck.",119,leap,is a,jump,What is a leap?,A leap is a jump.
4,"""If you do not go where I want you to, I'll scratch out your eyes, and drive you over rock and precipice!"" said she. So the buck did not dare do anything save what the cat wished, and off they went over stick and stone, from cliff to cliff, close by Ebe, who was just polishing the door-sill of his house, and with one bound right into the castle.

""I am to deliver a kind greeting from Ebe, and ask whether my lord king might care to have this buck reindeer to drive,"" said the cat. Yes, he could make good use of such a young, handsome animal, some time, when he had occasion to drive out to visit a neighboring king.

""This Ebe must be a proud and powerful lord,"" said the king, ""if he can make me such presents.""

""Yes, he is the greatest lord in all your land and kingdom,"" said the cat, but no matter how many questions the king asked, he learned nothing more.",151,proud,is the antonym of,ashamed,What is the opposite of proud?,Ashamed.
4,"""If you do not go where I want you to, I'll scratch out your eyes, and drive you over rock and precipice!"" said she. So the buck did not dare do anything save what the cat wished, and off they went over stick and stone, from cliff to cliff, close by Ebe, who was just polishing the door-sill of his house, and with one bound right into the castle.

""I am to deliver a kind greeting from Ebe, and ask whether my lord king might care to have this buck reindeer to drive,"" said the cat. Yes, he could make good use of such a young, handsome animal, some time, when he had occasion to drive out to visit a neighboring king.

""This Ebe must be a proud and powerful lord,"" said the king, ""if he can make me such presents.""

""Yes, he is the greatest lord in all your land and kingdom,"" said the cat, but no matter how many questions the king asked, he learned nothing more.",105,reindeer,is a,deer,What do reindeer have on their heads?,Reindeer have antlers on their heads.
5,"""Tell him that I am much obliged,"" said the king, and he sent him a whole cart-load of handsome presents. But Ebe looked past them and paid no attention to them.

""Brother Peter can scrape out his cook-pot when he has loaned it out, and Brother Paul gets a crust of bread when he lends out his frying-pan; but what am I to do with this wretched cat!"" said he, and felt angry and envious; but still he scratched the cat, and stroked her, and this pleased her so much that she began to purr, and raised her tail in the air.

""Wait, wait, I will help you yet,"" said the cat, ""wait, wait, I will help you yet!""",76,cat,desires,milk_to_drink,What animal likes to drink milk?,A cat.
5,"""Tell him that I am much obliged,"" said the king, and he sent him a whole cart-load of handsome presents. But Ebe looked past them and paid no attention to them.

""Brother Peter can scrape out his cook-pot when he has loaned it out, and Brother Paul gets a crust of bread when he lends out his frying-pan; but what am I to do with this wretched cat!"" said he, and felt angry and envious; but still he scratched the cat, and stroked her, and this pleased her so much that she began to purr, and raised her tail in the air.

""Wait, wait, I will help you yet,"" said the cat, ""wait, wait, I will help you yet!""",76,cat,desires,milk_to_drink,What do cats like to drink?,Cats like to drink milk.
6,"The next day they both set out again, the cat in the lead, and Ebe following. After a while he turned back to see whether the folding-table at home had been scoured. And the cat tripped on alone. After she had gone her way, tipp, tapp, tipp, tapp, for a while, she came to a dense forest slope. There she found an enormous herd of elk. The cat crept softly up, and suddenly there she sat between the horns of one of the stateliest of the bull elks.

""If you do not go where I want you to, I will scratch out your eyes, and drive you over rock and precipice!"" said the cat. The elk did not dare do anything save what the cat wished, and so off they went, like lightning, over stick and stone, from cliff to cliff, right past Ebe, who stood before the house scouring the shutters, and with one bound into the king's castle.",92,horn,is part of,bull,What animal has horns?,A bull.
6,"The next day they both set out again, the cat in the lead, and Ebe following. After a while he turned back to see whether the folding-table at home had been scoured. And the cat tripped on alone. After she had gone her way, tipp, tapp, tipp, tapp, for a while, she came to a dense forest slope. There she found an enormous herd of elk. The cat crept softly up, and suddenly there she sat between the horns of one of the stateliest of the bull elks.

""If you do not go where I want you to, I will scratch out your eyes, and drive you over rock and precipice!"" said the cat. The elk did not dare do anything save what the cat wished, and so off they went, like lightning, over stick and stone, from cliff to cliff, right past Ebe, who stood before the house scouring the shutters, and with one bound into the king's castle.",75,herd,is a,group_of_animals,What is a herd?,A herd is a group of animals.
