section_id,section_text,word_id,concept(sub),relation,obj,question,answer
1,"In byegone days, in an old farmhouse which stood by a river, there liveda beautiful girl called Maisie. She was tall and straight, with auburnhair and blue eyes, and she was the prettiest girl in all the valley.And one would have thought that she would have been the pride of hermother's heart.But, instead of this, her mother used to sigh and shake her headwhenever she looked at her. And why?Because, in those days, all men were sensible; and instead of lookingout for pretty girls to be their wives, they looked out for girls whocould cook and spin, and who gave promise of becoming notablehousewives.",29,auburn,is a,colored_thing,What's auburn?,A coloured thing.
2,"Maisie's mother had been an industrious spinster; but, alas! to her soregrief and disappointment, her daughter did not take after her.The girl loved to be out of doors, chasing butterflies and plucking wildflowers, far better than sitting at her spinning-wheel. So when hermother saw one after another of Maisie's companions, who were not nearly so pretty as she was, getting rich husbands, she sighed and said:""Woe's me, child, for methinks no brave wooer will ever pause at ourdoor while they see thee so idle and thoughtless."" But Maisie onlylaughed.",7,spinster,is a,unmarried_woman,What's spinster?,Unmarried woman.
3,"At last her mother grew really angry, and one bright Spring morning shelaid down three heads of lint on the table, saying sharply, ""I will haveno more of this dallying. People will say that it is my blame that nowooer comes to seek thee. I cannot have thee left on my hands to belaughed at, as the idle maid who would not marry. So now thou must work;and if thou hast not these heads of lint spun into seven hanks of threadin three days, I will e'en speak to the Mother at St. Mary's Convent,and thou wilt go there and learn to be a nun.""Now, though Maisie was an idle girl, she had no wish to be shut up in anunnery; so she tried not to think of the sunshine outside, but sat downsoberly with her distaff.But, alas! she was so little accustomed to work that she made but slowprogress; and although she sat at the spinning-wheel all day, and neveronce went out of doors, she found at night that she had only spun half ahank of yarn.",165,distaff,is part of,spinning_wheel,What's distaff?,Distaff is part of spinning wheel.
4,"The next day it was even worse, for her arms ached so much she couldonly work very slowly. That night she cried herself to sleep; and nextmorning, seeing that it was quite hopeless to expect to get her taskfinished, she threw down her distaff in despair, and ran out of doors.Near the house was a deep dell, through which ran a tiny stream. Maisieloved this dell, the flowers grew so abundantly there.This morning she ran down to the edge of the stream, and seated herselfon a large stone. It was a glorious morning, the hazel trees were newlycovered with leaves, and the branches nodded over her head, and showedlike delicate tracery against the blue sky. The primroses andsweet-scented violets peeped out from among the grass, and a littlewater wagtail came and perched on a stone in the middle of the stream,and bobbed up and down, till it seemed as if he were nodding to Maisie,and as if he were trying to say to her, ""Never mind, cheer up.""",115,hazel,is a,tree,What's hazel?,A type of tree.
5,"But the poor girl was in no mood that morning to enjoy the flowers andthe birds. Instead of watching them, as she generally did, she hid herface in her hands, and wondered what would become of her. She rockedherself to and fro, as she thought how terrible it would be if hermother fulfilled her threat and shut her up in the Convent of St. Mary,with the grave, solemn-faced sisters, who seemed as if they hadcompletely forgotten what it was like to be young, and run about in thesunshine, and laugh, and pick the fresh Spring flowers.""Oh, I could not do it, I could not do it,"" she cried at last. ""It wouldkill me to be a nun.""""And who wants to make a pretty wench like thee into a nun?"" asked aqueer, cracked voice quite close to her.",78,grave,is at location of,funeral,Where's grave?,Grave is at location of funeral.
6,"Maisie jumped up, and stood staring in front of her as if she had beenmoonstruck. For, just across the stream from where she had been sitting,there was a curious boulder, with a round hole in the middle of it--forall the world like a big apple with the core taken out.Maisie knew it well; she had often sat upon it, and wondered how thefunny hole came to be there.It was no wonder that she stared, for, seated on this stone, was thequeerest little old woman that she had ever seen in her life. Indeed,had it not been for her silver hair, and the white mutch with the bigfrill that she wore on her head, Maisie would have taken her for alittle girl, she wore such a very short skirt, only reaching down to herknees.",35,boulder,is capable of,roll_down_from_mountain,What's capable of rolling down from mountain?,Boulder.
7,"Her face, inside the frill of her cap, was round, and her cheeks wererosy, and she had little black eyes, which twinkled merrily as shelooked at the startled maiden. On her shoulders was a black and whitechecked shawl, and on her legs, which she dangled over the edge of theboulder, she wore black silk stockings and the neatest little shoes,with great silver buckles.In fact, she would have been quite a pretty old lady had it not been forher lips, which were very long and very thick, and made her look quiteugly in spite of her rosy cheeks and black eyes. Maisie stood and lookedat her for such a long time in silence that she repeated her question.",5,frill,is a,adornment,What's frill?,Adornment.
8,"""And who wants to make a pretty wench like thee into a nun? More likelythat some gallant gentleman should want to make a bride of thee.""""Oh, no,"" answered Maisie, ""my mother says no gentleman would look at mebecause I cannot spin.""""Nonsense,"" said the tiny woman. ""Spinning is all very well for oldfolks like me--my lips, as thou seest, are long and ugly because I havespun so much, for I always wet my fingers with them, the easier to drawthe thread from the distaff. No, no, take care of thy beauty, child; donot waste it over the spinning-wheel, nor yet in a nunnery.""""If my mother only thought as thou dost,"" replied the girl sadly; and,encouraged by the old woman's kindly face, she told her the whole story.""Well,"" said the old Dame, ""I do not like to see pretty girls weep; whatif I were able to help thee, and spin the lint for thee?""",54,spin,is a,rotate,What's spin?,Rotate.
9,"Maisie thought that this offer was too good to be true; but her newfriend bade her run home and fetch the lint; and I need not tell youthat she required no second bidding.When she returned she handed the bundle to the little lady, and wasabout to ask her where she should meet her in order to get the threadfrom her when it was spun, when a sudden noise behind her made her lookround.She saw nothing; but what was her horror and surprise when she turnedback again, to find that the old woman had vanished entirely, lint andall.",44,bundle,is a,package,What's bundle?,Packaged entirely.
10,"She rubbed her eyes, and looked all round, but she was nowhere to beseen. The girl was utterly bewildered. She wondered if she could havebeen dreaming, but no that could not be, there were her footprintsleading up the bank and down again, where she had gone for the lint, andbrought it back, and there was the mark of her foot, wet with dew, on astone in the middle of the stream, where she had stood when she hadhanded the lint up to the mysterious little stranger.What was she to do now? What would her mother say when, in addition tonot having finished the task that had been given her, she had to confessto having lost the greater part of the lint also? She ran up and downthe little dell, hunting amongst the bushes, and peeping into every nookand cranny of the bank where the little old woman might have hiddenherself. It was all in vain; and at last, tired out with the search, shesat down on the stone once more, and presently fell fast asleep.When she awoke it was evening. The sun had set, and the yellow glow onthe western horizon was fast giving place to the silvery light of themoon. She was sitting thinking of the curious events of the day, andgazing at the great boulder opposite, when it seemed to her as if adistant murmur of voices came from it.",136,confess,has subevent,admit,What detail does confess have?,Admit something.
11,"With one bound she crossed the stream, and clambered on to the stone.She was right.Someone was talking underneath it, far down in the ground. She put herear close to the stone, and listened.The voice of the queer little old woman came up through the hole. ""Ho,ho, my pretty little wench little knows that my name is Habetrot.""Full of curiosity, Maisie put her eye to the opening, and the strangestsight that she had ever seen met her gaze. She seemed to be lookingthrough a telescope into a wonderful little valley. The trees there werebrighter and greener than any that she had ever seen before and therewere beautiful flowers, quite different from the flowers that grew inher country. The little valley was carpeted with the most exquisitemoss, and up and down it walked her tiny friend, busily engaged inspinning.",47,queer,has subevent,affect,What context does queer have?,Affect.
12,"She was not alone, for round her were a circle of other little oldwomen, who were seated on large white stones, and they were all spinningaway as fast as they could.Occasionally one would look up, and then Maisie saw that they all seemedto have the same long, thick lips that her friend had. She really feltvery sorry, as they all looked exceedingly kind, and might have beenpretty had it not been for this defect.One of the Spinstresses sat by herself, and was engaged in winding thethread, which the others had spun, into hanks. Maisie did not think thatthis little lady looked so nice as the others. She was dressed entirelyin grey, and had a big hooked nose, and great horn spectacles. Sheseemed to be called Slantlie Mab, for Maisie heard Habetrot address herby that name, telling her to make haste and tie up all the thread, forit was getting late, and it was time that the young girl had it tocarry home to her mother.",100,engage,has subevent,touch,What does it mean to engage?,Touch.
13,"Maisie did not quite know what to do, or how she was to get the thread,for she did not like to shout down the hole in case the queer little oldwoman should be angry at being watched.However, Habetrot, as she had called herself, suddenly appeared on thepath beside her, with the hanks of thread in her hand.""Oh, thank you, thank you,"" cried Maisie. ""What can I do to show you howthankful I am?""""Nothing,"" answered the Fairy. ""For I do not work for reward. Only donot tell your mother who span the thread for thee.""",16,thread,is used for,sewing,What is used for sewing?,Thread.
14,"It was now late, and Maisie lost no time in running home with theprecious thread upon her shoulder. When she walked into the kitchen shefound that her mother had gone to bed. She seemed to have had a busyday, for there, hanging up in the wide chimney, in order to dry, wereseven large black puddings.The fire was low, but bright and clear; and the sight of it and thesight of the puddings suggested to Maisie that she was very hungry, andthat fried black puddings were very good.Flinging the thread down on the table, she hastily pulled off her shoes,so as not to make a noise and awake her mother; and, getting down thefrying-pan from the wall, she took one of the black puddings from thechimney, and fried it, and ate it.Still she felt hungry, so she took another, and then another, till theywere all gone. Then she crept upstairs to her little bed and fell fastasleep.",65,pudding,is a,dessert,What's pudding?,A dessert.
14,"It was now late, and Maisie lost no time in running home with theprecious thread upon her shoulder. When she walked into the kitchen shefound that her mother had gone to bed. She seemed to have had a busyday, for there, hanging up in the wide chimney, in order to dry, wereseven large black puddings.The fire was low, but bright and clear; and the sight of it and thesight of the puddings suggested to Maisie that she was very hungry, andthat fried black puddings were very good.Flinging the thread down on the table, she hastily pulled off her shoes,so as not to make a noise and awake her mother; and, getting down thefrying-pan from the wall, she took one of the black puddings from thechimney, and fried it, and ate it.Still she felt hungry, so she took another, and then another, till theywere all gone. Then she crept upstairs to her little bed and fell fastasleep.",152,chimney,is part of,house,What's chimney?,Chimney is part of house.
15,"Next morning her mother came downstairs before Maisie was awake. Infact, she had not been able to sleep much for thinking of her daughter'scareless ways, and had been sorrowfully making up her mind that she mustlose no time in speaking to the Abbess of St. Mary's about this idlegirl of hers.What was her surprise to see on the table the seven beautiful hanks ofthread, while, on going to the chimney to take down a black pudding tofry for breakfast, she found that every one of them had been eaten. Shedid not know whether to laugh for joy that her daughter had been soindustrious, or to cry for vexation because all her lovely blackpuddings--which she had expected would last for a week at least--weregone. In her bewilderment she sang out:    ""My daughter's spun se'en, se'en, se'en,    My daughter's eaten se'en, se'en, se'en,        And all before daylight.""",151,bewilderment,is a,confusion,What's bewilderment?,Confusion.
16,"Now I forgot to tell you that, about half a mile from where the oldfarmhouse stood, there was a beautiful Castle, where a very rich youngnobleman lived. He was both good and brave, as well as rich; and allthe mothers who had pretty daughters used to wish that he would cometheir way, some day, and fall in love with one of them. But he had neverdone so, and everyone said, ""He is too grand to marry any country girl.One day he will go away to London Town and marry a Duke's daughter.""Well, this fine spring morning it chanced that this young nobleman'sfavourite horse had lost a shoe, and he was so afraid that any of thegrooms might ride it along the hard road, and not on the soft grass atthe side, that he said that he would take it to the smithy himself.So it happened that he was riding along by Maisie's garden gate as hermother came into the garden singing these strange lines.",131,shoe,is used for,protecting_foot,What can we use for protecting foot?,Shoes.
17,"He stopped his horse, and said good-naturedly, ""Good day, Madam; and mayI ask why you sing such a strange song?""Maisie's mother made no answer, but turned and walked into the house;and the young nobleman, being very anxious to know what it all meant,hung his bridle over the garden gate, and followed her.She pointed to the seven hanks of thread lying on the table, and said,""This hath my daughter done before breakfast.""Then the young man asked to see the Maiden who was so industrious, andher mother went and pulled Maisie from behind the door, where she hadhidden herself when the stranger came in; for she had come downstairswhile her mother was in the garden.",60,bridle,is a,headgear,What's bridle?,Headgear.
18,"She looked so lovely in her fresh morning gown of blue gingham, with herauburn hair curling softly round her brow, and her face all over blushesat the sight of such a gallant young man, that he quite lost his heart,and fell in love with her on the spot.""Ah,"" said he, ""my dear mother always told me to try and find a wife whowas both pretty and useful, and I have succeeded beyond my expectations.Do not let our marriage, I pray thee, good Dame, be too long deferred.""Maisie's mother was overjoyed, as you may imagine, at this piece ofunexpected good fortune, and busied herself in getting everything readyfor the wedding; but Maisie herself was a little perplexed.She was afraid that she would be expected to spin a great deal when shewas married and lived at the Castle, and if that were so, her husbandwas sure to find out that she was not really such a good spinstress ashe thought she was.",21,brow,is part of,face,What's brow?,Part of face.
19,"In her trouble she went down, the night before her wedding, to the greatboulder by the stream in the glen, and, climbing up on it, she laid herhead against the stone, and called softly down the hole, ""Habetrot, dearHabetrot.""The little old woman soon appeared, and, with twinkling eyes, asked herwhat was troubling her so much just when she should have been so happy.And Maisie told her.""Trouble not thy pretty head about that,"" answered the Fairy, ""but comehere with thy bridegroom next week, when the moon is full, and I warrantthat he will never ask thee to sit at a spinning-wheel again.""",120,warrant,is a,permission,What's warrant?,Permission.
20,"Accordingly, after all the wedding festivities were over and the couplehad settled down at the Castle, on the appointed evening Maisiesuggested to her husband that they should take a walk together in themoonlight.She was very anxious to see what the little Fairy would do to help her;for that very day he had been showing her all over her new home, and hehad pointed out to her the beautiful new spinning-wheel made of ebony,which had belonged to his mother, saying proudly, ""To-morrow, littleone, I shall bring some lint from the town, and then the maids will seewhat clever little fingers my wife has.""Maisie had blushed as red as a rose as she bent over the lovely wheel,and then felt quite sick, as she wondered whatever she would do ifHabetrot did not help her.",127,blush,is a,makeup,What's blush?,Makeup.
21,"So on this particular evening, after they had walked in the garden, shesaid that she should like to go down to the little dell and see how thestream looked by moonlight. So to the dell they went.As soon as they came to the boulder Maisie put her head against it andwhispered, ""Habetrot, dear Habetrot""; and in an instant the little oldwoman appeared.She bowed in a stately way, as if they were both strangers to her, andsaid, ""Welcome, Sir and Madam, to the Spinsters' Dell."" And then shetapped on the root of a great oak tree with a tiny wand which she heldin her hand, and a green door, which Maisie never remembered havingnoticed before, flew open, and they followed the Fairy through it intothe other valley which Maisie had seen through the hole in the greatstone.",120,oak,is a,dense_wood,What's oak?,Dense wood.
