section_id,section_text,word_id,concept(sub),relation,obj,question,answer
1,"Once upon a time there was a man who lived in the little back room. He
had given up his estate to the heir. But in addition he had three sons,
who were named Peter, Paul and Esben, who was the youngest. All three
hung around at home and would not work, for they had it too easy.
They thought themselves too good for anything like work, and nothing was good enough for them. Finally Peter once heard that the king wanted a shepherd for his hares, and he told his father he would apply for the
position, as it would just suit him, seeing that he wished to serve no
one lower in rank than the king. His father, it is true, was of the
opinion that there might be other work that would suit him better, for
whoever was to herd hares would have to be quick and spry, and not a
sleepy-head. When the hares took to their heels in all directions,
it was a dance of another kind than when one skipped about a room. But
it was of no use. Peter insisted, and would have his own way, took his
knapsack, and shambled down hill. After he had gone a while, he saw an
old woman who had got her nose wedged in a tree-stump while chopping
wood, and when Peter saw her jerking and pulling away, trying to get
out, he burst into loud laughter.",21,estate,is a,property,What are estates?,Properties.
1,"Once upon a time there was a man who lived in the little back room. He
had given up his estate to the heir. But in addition he had three sons,
who were named Peter, Paul and Esben, who was the youngest. All three
hung around at home and would not work, for they had it too easy.
They thought themselves too good for anything like work, and nothing was good enough for them. Finally Peter once heard that the king wanted a shepherd for his hares, and he told his father he would apply for the
position, as it would just suit him, seeing that he wished to serve no
one lower in rank than the king. His father, it is true, was of the
opinion that there might be other work that would suit him better, for
whoever was to herd hares would have to be quick and spry, and not a
sleepy-head. When the hares took to their heels in all directions,
it was a dance of another kind than when one skipped about a room. But
it was of no use. Peter insisted, and would have his own way, took his
knapsack, and shambled down hill. After he had gone a while, he saw an
old woman who had got her nose wedged in a tree-stump while chopping
wood, and when Peter saw her jerking and pulling away, trying to get
out, he burst into loud laughter.",64,easy,is the antonym of,difficult,What is the opposite of difficult?,Easy is the opposite of difficult.
1,"Once upon a time there was a man who lived in the little back room. He
had given up his estate to the heir. But in addition he had three sons,
who were named Peter, Paul and Esben, who was the youngest. All three
hung around at home and would not work, for they had it too easy.
They thought themselves too good for anything like work, and nothing was good enough for them. Finally Peter once heard that the king wanted a shepherd for his hares, and he told his father he would apply for the
position, as it would just suit him, seeing that he wished to serve no
one lower in rank than the king. His father, it is true, was of the
opinion that there might be other work that would suit him better, for
whoever was to herd hares would have to be quick and spry, and not a
sleepy-head. When the hares took to their heels in all directions,
it was a dance of another kind than when one skipped about a room. But
it was of no use. Peter insisted, and would have his own way, took his
knapsack, and shambled down hill. After he had gone a while, he saw an
old woman who had got her nose wedged in a tree-stump while chopping
wood, and when Peter saw her jerking and pulling away, trying to get
out, he burst into loud laughter.",222,shamble,is a,walk,What does it mean to shamble?,To shamble means to walk while shuffling or dragging the feet.
1,"Once upon a time there was a man who lived in the little back room. He
had given up his estate to the heir. But in addition he had three sons,
who were named Peter, Paul and Esben, who was the youngest. All three
hung around at home and would not work, for they had it too easy.
They thought themselves too good for anything like work, and nothing was good enough for them. Finally Peter once heard that the king wanted a shepherd for his hares, and he told his father he would apply for the
position, as it would just suit him, seeing that he wished to serve no
one lower in rank than the king. His father, it is true, was of the
opinion that there might be other work that would suit him better, for
whoever was to herd hares would have to be quick and spry, and not a
sleepy-head. When the hares took to their heels in all directions,
it was a dance of another kind than when one skipped about a room. But
it was of no use. Peter insisted, and would have his own way, took his
knapsack, and shambled down hill. After he had gone a while, he saw an
old woman who had got her nose wedged in a tree-stump while chopping
wood, and when Peter saw her jerking and pulling away, trying to get
out, he burst into loud laughter.",242,nose,is capable of,smell_things,What part of your senses you uses to smell things?,I use my nose to smell things.
1,"Once upon a time there was a man who lived in the little back room. He
had given up his estate to the heir. But in addition he had three sons,
who were named Peter, Paul and Esben, who was the youngest. All three
hung around at home and would not work, for they had it too easy.
They thought themselves too good for anything like work, and nothing was good enough for them. Finally Peter once heard that the king wanted a shepherd for his hares, and he told his father he would apply for the
position, as it would just suit him, seeing that he wished to serve no
one lower in rank than the king. His father, it is true, was of the
opinion that there might be other work that would suit him better, for
whoever was to herd hares would have to be quick and spry, and not a
sleepy-head. When the hares took to their heels in all directions,
it was a dance of another kind than when one skipped about a room. But
it was of no use. Peter insisted, and would have his own way, took his
knapsack, and shambled down hill. After he had gone a while, he saw an
old woman who had got her nose wedged in a tree-stump while chopping
wood, and when Peter saw her jerking and pulling away, trying to get
out, he burst into loud laughter.",270,laughter,is at location of,movies,What do you do when you watch funny movies?,I burst with laughter.
2,"""Don't stand there and laugh in such a stupid way,"" said the woman,
""but come and help a poor, feeble old woman. I wanted to split up some
fire-wood, and caught my nose here. Here I have been standing for
more than a hundred years, pulling and jerking, without a bit of bread
to chew in all that time,"" said she.

Then Peter had to laugh all the harder. He found it all very amusing,
and said that if she had already been standing there a hundred years,
then she could probably hold out for another hundred years or more.",6,laugh,causes,tickle,How would you react if someone tickles you?,I would laugh.
2,"""Don't stand there and laugh in such a stupid way,"" said the woman,
""but come and help a poor, feeble old woman. I wanted to split up some
fire-wood, and caught my nose here. Here I have been standing for
more than a hundred years, pulling and jerking, without a bit of bread
to chew in all that time,"" said she.

Then Peter had to laugh all the harder. He found it all very amusing,
and said that if she had already been standing there a hundred years,
then she could probably hold out for another hundred years or more.",6,laugh,causes,tickle,What can make someone laugh?,Tickling someone can make them laugh.
2,"""Don't stand there and laugh in such a stupid way,"" said the woman,
""but come and help a poor, feeble old woman. I wanted to split up some
fire-wood, and caught my nose here. Here I have been standing for
more than a hundred years, pulling and jerking, without a bit of bread
to chew in all that time,"" said she.

Then Peter had to laugh all the harder. He found it all very amusing,
and said that if she had already been standing there a hundred years,
then she could probably hold out for another hundred years or more.",24,poor,causes,get_money_from,What happens if you are poor?,You have to ask someone for money.
2,"""Don't stand there and laugh in such a stupid way,"" said the woman,
""but come and help a poor, feeble old woman. I wanted to split up some
fire-wood, and caught my nose here. Here I have been standing for
more than a hundred years, pulling and jerking, without a bit of bread
to chew in all that time,"" said she.

Then Peter had to laugh all the harder. He found it all very amusing,
and said that if she had already been standing there a hundred years,
then she could probably hold out for another hundred years or more.",64,bread,is created by,baker,Who makes bread?,Bakers make bread.
3,"When he came to court they at once took him on as a herdsman. The place was not bad, there was good food, and good wages, and the chance of winning the princess besides. Yet if no more than a single one of the
king's hares were to be lost, they would cut three red strips from his
back, and throw him into the snake-pit.

As long as Peter was on the common or in the enclosure, he kept his
hares together nicely, but later, when they reached the forest, they ran
away from him across the hills. Peter ran after them with tremendous
leaps, as long as he thought he could catch even a single hare, but when
the very last one had vanished, his breath was gone, and he saw no more
of them. Toward noon he went home, taking his time about it, and when he
reached the enclosure, he looked around for them on all sides, but no
hares came. And then, when he came to the castle, there stood the king
with the knife in his hand. He cut three red strips from his back, and
cast him into the snake-pit.",16,place,is at location of,map,What do you need if you want to get to a place that you've never been?,I need a map.
