section_id,section_text,word_id,concept(sub),relation,obj,question,answer
1,"Once upon a time there was a prince or a duke or whatever you choose
to call him, but at any rate a noble tremendously high-born, who did
not want to stay at home. And so he traveled about the world, and
wherever he went he was well received, and hobnobbed with the very
finest people; for he had an unheard of amount of money. He at once
found friends and acquaintances, no matter where he came; for whoever
has a full trough can always find pigs to thrust their snouts into it.
But since he handled his money as he did, it grew less and less, and
at last he was left high and dry, without a red cent. And there was an
end to all his many friends; for they did just as the pigs do. When he
had been well fleeced, they began to snivel and grunt, and soon
scattered, each about his own business. And there he stood, after
having been led about by the nose, abandoned by all. All had been glad
to help him get rid of his money; but none were willing to help him
regain it, so there was nothing left for him to do but to wander back
home again like a journeyman apprentice, and beg his way as he went.",10,duke,is a,nobleman,What is a duke?,"A duke is a nobleman, the male ruler of a duchy."
1,"Once upon a time there was a prince or a duke or whatever you choose
to call him, but at any rate a noble tremendously high-born, who did
not want to stay at home. And so he traveled about the world, and
wherever he went he was well received, and hobnobbed with the very
finest people; for he had an unheard of amount of money. He at once
found friends and acquaintances, no matter where he came; for whoever
has a full trough can always find pigs to thrust their snouts into it.
But since he handled his money as he did, it grew less and less, and
at last he was left high and dry, without a red cent. And there was an
end to all his many friends; for they did just as the pigs do. When he
had been well fleeced, they began to snivel and grunt, and soon
scattered, each about his own business. And there he stood, after
having been led about by the nose, abandoned by all. All had been glad
to help him get rid of his money; but none were willing to help him
regain it, so there was nothing left for him to do but to wander back
home again like a journeyman apprentice, and beg his way as he went.",40,travel,causes,visit_other_countries,What causes people to travel?,When people want to visit other countries.
1,"Once upon a time there was a prince or a duke or whatever you choose
to call him, but at any rate a noble tremendously high-born, who did
not want to stay at home. And so he traveled about the world, and
wherever he went he was well received, and hobnobbed with the very
finest people; for he had an unheard of amount of money. He at once
found friends and acquaintances, no matter where he came; for whoever
has a full trough can always find pigs to thrust their snouts into it.
But since he handled his money as he did, it grew less and less, and
at last he was left high and dry, without a red cent. And there was an
end to all his many friends; for they did just as the pigs do. When he
had been well fleeced, they began to snivel and grunt, and soon
scattered, each about his own business. And there he stood, after
having been led about by the nose, abandoned by all. All had been glad
to help him get rid of his money; but none were willing to help him
regain it, so there was nothing left for him to do but to wander back
home again like a journeyman apprentice, and beg his way as he went.",52,receive,has subevent,accept,How does it feel to be received by someone?,You feel accepted.
1,"Once upon a time there was a prince or a duke or whatever you choose
to call him, but at any rate a noble tremendously high-born, who did
not want to stay at home. And so he traveled about the world, and
wherever he went he was well received, and hobnobbed with the very
finest people; for he had an unheard of amount of money. He at once
found friends and acquaintances, no matter where he came; for whoever
has a full trough can always find pigs to thrust their snouts into it.
But since he handled his money as he did, it grew less and less, and
at last he was left high and dry, without a red cent. And there was an
end to all his many friends; for they did just as the pigs do. When he
had been well fleeced, they began to snivel and grunt, and soon
scattered, each about his own business. And there he stood, after
having been led about by the nose, abandoned by all. All had been glad
to help him get rid of his money; but none were willing to help him
regain it, so there was nothing left for him to do but to wander back
home again like a journeyman apprentice, and beg his way as he went.",78,acquaintance,is a,person,Who is considered an acquaintance?,A person in a group you not close with but someone else in the group is close with that person.
2,"Late one evening he found himself in a big forest, without any idea as
to where he might spend the night. And as he was looking around, his
glance happened to fall on an old hut, peeping out from among the
bushes. Of course an old hut was no lodging for such a fine gentleman;
but when we cannot have what we want, we must take what we can get,
and since there was no help for it, he went into the hut. There was
not even a cat in it, not even a stool to sit on. But against one wall
there was a great chest. What might there be in the chest? Suppose
there were a few moldy crusts of bread in it? They would taste good to
him, for he had not been given a single thing all day long, and he was
so hungry that his inwards stuck to his ribs. He opened the chest. But
within the chest was another chest, and in that chest still another
chest, and so it went, one always smaller than the other, until they
were nothing but little boxes. And the more there were of them the
more trouble he took to open them; for whatever was hidden away so
carefully must be something exceptionally beautiful, thought he.",19,spend,has subevent,consume,What are you doing when you spend time on something?,You have to consume your time on something.
2,"Late one evening he found himself in a big forest, without any idea as
to where he might spend the night. And as he was looking around, his
glance happened to fall on an old hut, peeping out from among the
bushes. Of course an old hut was no lodging for such a fine gentleman;
but when we cannot have what we want, we must take what we can get,
and since there was no help for it, he went into the hut. There was
not even a cat in it, not even a stool to sit on. But against one wall
there was a great chest. What might there be in the chest? Suppose
there were a few moldy crusts of bread in it? They would taste good to
him, for he had not been given a single thing all day long, and he was
so hungry that his inwards stuck to his ribs. He opened the chest. But
within the chest was another chest, and in that chest still another
chest, and so it went, one always smaller than the other, until they
were nothing but little boxes. And the more there were of them the
more trouble he took to open them; for whatever was hidden away so
carefully must be something exceptionally beautiful, thought he.",31,glance,is a,look,What is a glance?,A glance is to take a quick look.
2,"Late one evening he found himself in a big forest, without any idea as
to where he might spend the night. And as he was looking around, his
glance happened to fall on an old hut, peeping out from among the
bushes. Of course an old hut was no lodging for such a fine gentleman;
but when we cannot have what we want, we must take what we can get,
and since there was no help for it, he went into the hut. There was
not even a cat in it, not even a stool to sit on. But against one wall
there was a great chest. What might there be in the chest? Suppose
there were a few moldy crusts of bread in it? They would taste good to
him, for he had not been given a single thing all day long, and he was
so hungry that his inwards stuck to his ribs. He opened the chest. But
within the chest was another chest, and in that chest still another
chest, and so it went, one always smaller than the other, until they
were nothing but little boxes. And the more there were of them the
more trouble he took to open them; for whatever was hidden away so
carefully must be something exceptionally beautiful, thought he.",84,help,has subevent,lend_hand,What do you usually do when someone asks for help?,You usually lend them a hand.
2,"Late one evening he found himself in a big forest, without any idea as
to where he might spend the night. And as he was looking around, his
glance happened to fall on an old hut, peeping out from among the
bushes. Of course an old hut was no lodging for such a fine gentleman;
but when we cannot have what we want, we must take what we can get,
and since there was no help for it, he went into the hut. There was
not even a cat in it, not even a stool to sit on. But against one wall
there was a great chest. What might there be in the chest? Suppose
there were a few moldy crusts of bread in it? They would taste good to
him, for he had not been given a single thing all day long, and he was
so hungry that his inwards stuck to his ribs. He opened the chest. But
within the chest was another chest, and in that chest still another
chest, and so it went, one always smaller than the other, until they
were nothing but little boxes. And the more there were of them the
more trouble he took to open them; for whatever was hidden away so
carefully must be something exceptionally beautiful, thought he.",165,hungry,causes,cook_dinner,What will Mom do if you say you are hungry?,Mom will cook dinner for me.
2,"Late one evening he found himself in a big forest, without any idea as
to where he might spend the night. And as he was looking around, his
glance happened to fall on an old hut, peeping out from among the
bushes. Of course an old hut was no lodging for such a fine gentleman;
but when we cannot have what we want, we must take what we can get,
and since there was no help for it, he went into the hut. There was
not even a cat in it, not even a stool to sit on. But against one wall
there was a great chest. What might there be in the chest? Suppose
there were a few moldy crusts of bread in it? They would taste good to
him, for he had not been given a single thing all day long, and he was
so hungry that his inwards stuck to his ribs. He opened the chest. But
within the chest was another chest, and in that chest still another
chest, and so it went, one always smaller than the other, until they
were nothing but little boxes. And the more there were of them the
more trouble he took to open them; for whatever was hidden away so
carefully must be something exceptionally beautiful, thought he.",182,chest,is used for,storing_things_in,What do people use chests for?,People use chests for storing things in.
2,"Late one evening he found himself in a big forest, without any idea as
to where he might spend the night. And as he was looking around, his
glance happened to fall on an old hut, peeping out from among the
bushes. Of course an old hut was no lodging for such a fine gentleman;
but when we cannot have what we want, we must take what we can get,
and since there was no help for it, he went into the hut. There was
not even a cat in it, not even a stool to sit on. But against one wall
there was a great chest. What might there be in the chest? Suppose
there were a few moldy crusts of bread in it? They would taste good to
him, for he had not been given a single thing all day long, and he was
so hungry that his inwards stuck to his ribs. He opened the chest. But
within the chest was another chest, and in that chest still another
chest, and so it went, one always smaller than the other, until they
were nothing but little boxes. And the more there were of them the
more trouble he took to open them; for whatever was hidden away so
carefully must be something exceptionally beautiful, thought he.",242,beautiful,is the antonym of,ugly,What is the opposite of beautiful?,Ugly.
