section_id,section_text,word_id,concept(sub),relation,obj,question,answer
1,"There was once a merchant who was so rich that he could have paved the whole street, and perhaps even a little side-street besides, with silver. But he did not do that; he knew another way of spending his money. If he spent a shilling he got back a florin-such an excellent merchant he was till he died.

Now his son inherited all this money. He lived very merrily; he went every night to the theatre, made paper kites out of five-pound notes, and played ducks and drakes with sovereigns instead of stones. In this way the money was likely to come soon to an end, and so it did.",8,rich,has subevent,invest,What do people usually do if they are rich?,They usually invest in stocks.
1,"There was once a merchant who was so rich that he could have paved the whole street, and perhaps even a little side-street besides, with silver. But he did not do that; he knew another way of spending his money. If he spent a shilling he got back a florin-such an excellent merchant he was till he died.

Now his son inherited all this money. He lived very merrily; he went every night to the theatre, made paper kites out of five-pound notes, and played ducks and drakes with sovereigns instead of stones. In this way the money was likely to come soon to an end, and so it did.",87,kite,is at location of,sky,Where do kites usually fly?,In the sky.
2,"At last he had nothing left but four shillings, and he had no clothes except a pair of slippers and an old dressing-gown.

His friends did not trouble themselves any more about him; they would not even walk down the street with him.

But one of them who was rather good-natured sent him an old trunk with the message, ""Pack up!"" That was all very well, but he had nothing to pack up, so he got into the trunk himself.

It was an enchanted trunk, for as soon as the lock was pressed it could fly. He pressed it, and away he flew in it up the chimney, high into the clouds, further and further away. But whenever the bottom gave a little creak he was in terror lest the trunk should go to pieces, for then he would have turned a dreadful somersault-just think of it!",26,friend,is capable of,talk,What is it like to have a good friend?,When you have a good friend you can have someone to always talk to.
2,"At last he had nothing left but four shillings, and he had no clothes except a pair of slippers and an old dressing-gown.

His friends did not trouble themselves any more about him; they would not even walk down the street with him.

But one of them who was rather good-natured sent him an old trunk with the message, ""Pack up!"" That was all very well, but he had nothing to pack up, so he got into the trunk himself.

It was an enchanted trunk, for as soon as the lock was pressed it could fly. He pressed it, and away he flew in it up the chimney, high into the clouds, further and further away. But whenever the bottom gave a little creak he was in terror lest the trunk should go to pieces, for then he would have turned a dreadful somersault-just think of it!",144,terror,is a,strong_emotion,What is it like to be in terror?,You have a strong emotion of fear.
3,"In this way he arrived at the land of the Turks. He hid the trunk in a wood under some dry leaves, and then walked into the town. He could do that quite well, for all the Turks were dressed just as he was-in a dressing-gown and slippers.

He met a nurse with a little child.

'Halloa! you Turkish nurse,' said he, 'what is that great castle there close to the town? The one with the windows so high up?'

'The sultan's daughter lives there,' she replied. 'It is prophesied that she will be very unlucky in her husband, and so no one is allowed to see her except when the sultan and sultana are by.'

'Thank you,' said the merchant's son, and he went into the wood, sat himself in his trunk, flew on to the roof, and crept through the window into the princess's room.",112,unlucky,is the antonym of,lucky,What is the opposite of unlucky?,Lucky.
3,"In this way he arrived at the land of the Turks. He hid the trunk in a wood under some dry leaves, and then walked into the town. He could do that quite well, for all the Turks were dressed just as he was-in a dressing-gown and slippers.

He met a nurse with a little child.

'Halloa! you Turkish nurse,' said he, 'what is that great castle there close to the town? The one with the windows so high up?'

'The sultan's daughter lives there,' she replied. 'It is prophesied that she will be very unlucky in her husband, and so no one is allowed to see her except when the sultan and sultana are by.'

'Thank you,' said the merchant's son, and he went into the wood, sat himself in his trunk, flew on to the roof, and crept through the window into the princess's room.",169,window,is used for,letting_light_in_building,What can a window be used for?,Allow light in the building.
4,"She was lying on the sofa asleep, and was so beautiful that the young merchant had to kiss her. Then she woke up and was very much frightened, but he said he was a Turkish god who had come through the air to see her, and that pleased her very much.

They sat close to each other, and he told her a story about her eyes. They were beautiful dark lakes in which her thoughts swam about like mermaids. And her forehead was a snowy mountain, grand and shining. These were lovely stories.

Then he asked the princess to marry him, and she said yes at once.

'But you must come here on Saturday,' she said, 'for then the sultan and the sultana are coming to tea with me. They will be indeed proud that I receive the god of the Turks. But mind you have a really good story ready, for my parents like them immensely. My mother likes something rather moral and high-flown, and my father likes something merry to make him laugh.'",81,thought,is a,not_necesarily_said_aloud,What is a thought?,A thought is created in our minds that not necessarily said aloud .
4,"She was lying on the sofa asleep, and was so beautiful that the young merchant had to kiss her. Then she woke up and was very much frightened, but he said he was a Turkish god who had come through the air to see her, and that pleased her very much.

They sat close to each other, and he told her a story about her eyes. They were beautiful dark lakes in which her thoughts swam about like mermaids. And her forehead was a snowy mountain, grand and shining. These were lovely stories.

Then he asked the princess to marry him, and she said yes at once.

'But you must come here on Saturday,' she said, 'for then the sultan and the sultana are coming to tea with me. They will be indeed proud that I receive the god of the Turks. But mind you have a really good story ready, for my parents like them immensely. My mother likes something rather moral and high-flown, and my father likes something merry to make him laugh.'",191,merry,is the antonym of,unhappy,What is the opposite of being merry?,Being unhappy.
5,"'Yes, I shall only bring a fairy story for my dowry,' said he, and so they parted. But the princess gave him a sabre set with gold pieces which he could use.

Then he flew away, bought himself a new dressing-gown, and sat down in the wood and began to make up a story, for it had to be ready by Saturday, and that was no easy matter.

When he had it ready it was Saturday.

The sultan, the sultana, and the whole court were at tea with the princess.

He was most graciously received.",76,easy,is the antonym of,difficult,What is the opposite of easy?,Difficult.
5,"'Yes, I shall only bring a fairy story for my dowry,' said he, and so they parted. But the princess gave him a sabre set with gold pieces which he could use.

Then he flew away, bought himself a new dressing-gown, and sat down in the wood and began to make up a story, for it had to be ready by Saturday, and that was no easy matter.

When he had it ready it was Saturday.

The sultan, the sultana, and the whole court were at tea with the princess.

He was most graciously received.",109,receive,has subevent,accept,How can you receive an invitation?,You accept the letter of invitation.
