section_id,section_text,word_id,concept(sub),relation,obj,question,answer
1,"ONCE upon a time there was a very beautiful doll's house; it was red
brick with white windows, and it had real muslin curtains and a front
door and a chimney.

IT belonged to two Dolls called Lucinda and Jane; at least it belonged
to Lucinda, but she never ordered meals.

Jane was the Cook; but she never did any cooking, because the dinner had
been bought ready-made, in a box full of shavings.

THERE were two red lobsters, and a ham, a fish, a pudding, and some
pears and oranges.

They would not come off the plates, but they were extremely beautiful.",16,brick,is made of,clay,What are bricks made from?,Bricks are made from clay.
1,"ONCE upon a time there was a very beautiful doll's house; it was red
brick with white windows, and it had real muslin curtains and a front
door and a chimney.

IT belonged to two Dolls called Lucinda and Jane; at least it belonged
to Lucinda, but she never ordered meals.

Jane was the Cook; but she never did any cooking, because the dinner had
been bought ready-made, in a box full of shavings.

THERE were two red lobsters, and a ham, a fish, a pudding, and some
pears and oranges.

They would not come off the plates, but they were extremely beautiful.",113,plate,is used for,hold_food,What is the flat dish that can hold food?,Plates.
2,"ONE morning Lucinda and Jane had gone out for a drive in the doll's
perambulator. There was no one in the nursery, and it was very quiet.
Presently there was a little scuffling, scratching noise in a corner
near the fireplace, where there was a hole under the skirting-board.

Tom Thumb put out his head for a moment, and then popped it in again.

Tom Thumb was a mouse.

A MINUTE afterwards Hunca Munca, his wife, put her head out, too; and
when she saw that there was no one in the nursery, she ventured out on
the oilcloth under the coal-box.

THE doll's house stood at the other side of the fireplace. Tom Thumb and
Hunca Munca went cautiously across the hearth-rug. They pushed the front
door--it was not fast.",112,oilcloth,is a,fabric,What is oilcloth?,Oilcloth is a type of fabric that is waterproof on one side.
2,"ONE morning Lucinda and Jane had gone out for a drive in the doll's
perambulator. There was no one in the nursery, and it was very quiet.
Presently there was a little scuffling, scratching noise in a corner
near the fireplace, where there was a hole under the skirting-board.

Tom Thumb put out his head for a moment, and then popped it in again.

Tom Thumb was a mouse.

A MINUTE afterwards Hunca Munca, his wife, put her head out, too; and
when she saw that there was no one in the nursery, she ventured out on
the oilcloth under the coal-box.

THE doll's house stood at the other side of the fireplace. Tom Thumb and
Hunca Munca went cautiously across the hearth-rug. They pushed the front
door--it was not fast.",128,fireplace,is used for,warmth,What can fireplace bring?,Warmth.
3,"TOM THUMB and Hunca Munca went up-stairs and peeped into the
dining-room. Then they squeaked with joy!

Such a lovely dinner was laid out upon the table! There were tin spoons,
and lead knives and forks, and two dolly-chairs--all SO convenient!

TOM THUMB set to work at once to carve the ham. It was a beautiful shiny
yellow, streaked with red.

The knife crumpled up and hurt him; he put his finger in his mouth.

""It is not boiled enough; it is hard. You have a try, Hunca Munca.""

HUNCA MUNCA stood up in her chair, and chopped at the ham with another
lead knife.

""It's as hard as the hams at the cheesemonger's,"" said Hunca Munca.

THE ham broke off the plate with a jerk, and rolled under the table.

""Let it alone,"" said Tom Thumb; ""give me some fish, Hunca Munca!""",33,spoon,is used for,eating,What is the implement for eating or serving?,The spoon.
3,"TOM THUMB and Hunca Munca went up-stairs and peeped into the
dining-room. Then they squeaked with joy!

Such a lovely dinner was laid out upon the table! There were tin spoons,
and lead knives and forks, and two dolly-chairs--all SO convenient!

TOM THUMB set to work at once to carve the ham. It was a beautiful shiny
yellow, streaked with red.

The knife crumpled up and hurt him; he put his finger in his mouth.

""It is not boiled enough; it is hard. You have a try, Hunca Munca.""

HUNCA MUNCA stood up in her chair, and chopped at the ham with another
lead knife.

""It's as hard as the hams at the cheesemonger's,"" said Hunca Munca.

THE ham broke off the plate with a jerk, and rolled under the table.

""Let it alone,"" said Tom Thumb; ""give me some fish, Hunca Munca!""",39,fork,is used for,eating_food,What are forks used for?,Forks are used for eating food.
4,"HUNCA MUNCA tried every tin spoon in turn; the fish was glued to the
dish.

Then Tom Thumb lost his temper. He put the ham in the middle of the
floor, and hit it with the tongs and with the shovel--bang, bang, smash,
smash!

The ham flew all into pieces, for underneath the shiny paint it was made
of nothing but plaster!

THEN there was no end to the rage and disappointment of Tom Thumb and
Hunca Munca. They broke up the pudding, the lobsters, the pears, and the
oranges.",50,smash,is a,collision,What is smash?,The sound of a collision.
4,"HUNCA MUNCA tried every tin spoon in turn; the fish was glued to the
dish.

Then Tom Thumb lost his temper. He put the ham in the middle of the
floor, and hit it with the tongs and with the shovel--bang, bang, smash,
smash!

The ham flew all into pieces, for underneath the shiny paint it was made
of nothing but plaster!

THEN there was no end to the rage and disappointment of Tom Thumb and
Hunca Munca. They broke up the pudding, the lobsters, the pears, and the
oranges.",55,ham,is a,pork,What is ham made of?,Ham is made of pork.
5,"As the fish would not come off the plate, they put it into the red-hot
crinkly paper fire in the kitchen; but it would not burn either.

TOM THUMB went up the kitchen chimney and looked out at the top--there
was no soot.

WHILE Tom Thumb was up the chimney, Hunca Munca had another
disappointment. She found some tiny canisters upon the dresser, labeled
""Rice,"" ""Coffee"" ""Sago""; but when she turned them upside down there was
nothing inside except red and blue beads.

THEN those mice set to work to do all the mischief they
could--especially Tom Thumb! He took Jane's clothes out of the chest of
drawers in her bedroom, and he threw them out of the top-floor window.

But Hunca Munca had a frugal mind. After pulling half the feathers out
of Lucinda's bolster, she remembered that she herself was in want of a
feather-bed.",21,kitchen,is used for,cook_food,What do we do in a kitchen?,We cook food in a kitchen.
6,"WITH Tom Thumb's assistance she carried the bolster down-stairs and
across the hearth-rug. It was difficult to squeeze the bolster into the
mouse-hole; but they managed it somehow.

THEN Hunca Munca went back and fetched a chair, a bookcase, a bird-cage,
and several small odds and ends. The bookcase and the bird-cage refused
to go into the mouse-hole.

HUNCA MUNCA left them behind the coal-box, and went to fetch a cradle.

HUNCA MUNCA was just returning with another chair, when suddenly there
was a noise of talking outside upon the landing. The mice rushed back to
their hole, and the dolls came into the nursery.",21,bolster,is a,pillow,What is a bolster?,A bolster is a large cushion or pillow.
